Time	4crsol	5drib	amob	dalua	5mtr	ala	asp	cobalt	cu2	fe3	glc	glu	gly	h2o2	his	ile	leu	lys	met	mobd	nh4	ni2	phe	pro	pyr	ser	succ	thr	tyr	urea	val	tnf
0.8333333333	3.84856962357791E-05	0.0004078444	6.68018872915857E-05	1.02895229437033E-05	0.0002671035	1.0029511328	1.5900661597	999.9999895184	999.9999946072	999.9178064267	55.3857798845	3.4777846154	0.7443587815	0.6035112151	0.399556418	0.5487852849	1.4964239707	0.7984284938	0.3989959454	999.9999708837	45.2919640105	999.9999975436	0.5990925531	1.9967567672	0.1150143337	0.910688028	8.61534220139224E-07	0.4524365392	0.3995166743	1.11463304927307E-05	1.3568007926	5.302912481932E-06
0.9166666667	4.38551018276397E-05	0.0004647456	7.61218804904305E-05	1.17250854366623E-05	0.000304369	1.0035092831	1.5891528229	999.9999880561	999.9999938548	999.9126664153	55.3729931692	3.4757752744	0.7396906156	0.6035112151	0.3995518513	0.548734138	1.4962568301	0.7983709028	0.3989502785	999.9999668215	45.2933884132	999.9999972009	0.5990697197	1.9966551128	0.1271667873	0.9070854217	8.61534220139224E-07	0.4531976532	0.3995098242	1.11463304927307E-05	1.3567514725	0.00000586
1	4.94280549336156E-05	0.0005238038	8.57951830853979E-05	1.32150683252871E-05	0.0003430471	1.0040990206	1.5882297556	999.9999865383	999.9999930739	999.9126664153	55.3600702271	3.4737445264	0.7351778421	0.6035112151	0.399547236	0.5486824462	1.4960879088	0.7983125701	0.3989041252	999.9999626053	45.2941219354	999.9999968452	0.599046643	1.9965523754	0.1394615309	0.9035726379	8.61534220139224E-07	0.4540437982	0.3995029012	1.11463304927307E-05	1.3567016268	6.4231189815221E-06
1.0833333333	5.497390134503E-05	0.0005825748	9.54214349957719E-05	1.46978039770706E-05	0.0003815372	1.004720723	1.5872972019	999.9999850279	999.9999922968	999.9126664153	55.3470144756	3.4716929083	0.7308259249	0.6035112151	0.3995425732	0.5486302232	1.4959172514	0.7982535084	0.3988574975	999.9999584096	45.2945788038	999.9999964913	0.5990233292	1.9964485822	0.1518955799	0.9001532744	8.61534220139224E-07	0.4549763519	0.3994959071	1.11463304927307E-05	1.3566512689	0.000006992
1.1666666667	6.04906304411685E-05	0.0006410372	0.0001049971	1.61727548331276E-05	0.0004198251	1.0053748827	1.586355212	999.9999835254	999.9999915238	999.9126664153	55.3338266172	3.4696205305	0.7266393032	0.6035112151	0.3995378633	0.5485774718	1.4957448673	0.7981937182	0.398810398	999.9999542359	45.2947532272	999.9999961392	0.5989997794	1.9963437387	0.1644685282	0.8968301434	8.61534220139224E-07	0.4559968409	0.3994888421	1.11463304927307E-05	1.3566004015	7.56659055584402E-06
1.25	6.59762251528912E-05	0.0006991697	0.0001145188	1.76393816105237E-05	0.0004578969	1.006061985	1.5854038396	999.9999820314	999.9999907551	999.9126664153	55.3205074034	3.4675275112	0.7226223975	0.6035112151	0.3995331064	0.548524195	1.4955707661	0.7981332003	0.3987628294	999.9999500858	45.2946394607	999.999995789	0.5989759951	1.996237851	0.1771799208	0.893606048	8.61534220139224E-07	0.4571067754	0.3994817069	1.11463304927307E-05	1.3565490274	8.14692773143031E-06
1.3333333333	7.14286631681146E-05	0.0007569508	0.0001239829	1.90971436245731E-05	0.0004957387	1.0067825083	1.5844431418	999.9999805465	999.9999899911	999.9126664153	55.3070576342	3.4654139761	0.7187796063	0.6035112151	0.3995283029	0.5484703959	1.4953949584	0.7980719559	0.3987147945	999.9999459607	45.29423181	999.999995441	0.5989519777	1.9961309253	0.1900292539	0.8904837801	8.61534220139224E-07	0.4583076476	0.3994745016	1.11463304927307E-05	1.3564971497	0.000008733
1.4166666667	7.68459181533811E-05	0.000814359	0.000133386	2.05454991154364E-05	0.0005333362	1.0075369236	1.5834731793	999.9999790711	999.999989232	999.9126664153	55.2934781589	3.4632800585	0.7151153034	0.6035112151	0.3995234531	0.548416078	1.4952174553	0.798009986	0.3986662963	999.9999418623	45.2935246355	999.9999950953	0.5989277286	1.9960229685	0.2030159743	0.8874661189	8.61534220139224E-07	0.459600931	0.3994672269	1.11463304927307E-05	1.3564447717	9.32463052544581E-06
1.5	0.000082226	0.000871373	0.0001427244	2.19839055787544E-05	0.0005706755	1.0083256939	1.5824940162	999.9999776058	999.9999884781	999.9126664153	55.2797698757	3.4611258997	0.7116338347	0.6035112151	0.3995185573	0.5483612448	1.4950382684	0.7979472924	0.3986173382	999.999937792	45.2925123568	999.9999947519	0.5989032495	1.9959139876	0.2161394795	0.8845558287	8.61534220139224E-07	0.4609880787	0.3994598832	1.11463304927307E-05	1.3563918969	9.92192000742044E-06
1.5833333333	8.75667610273728E-05	0.000927971	0.0001519948	2.34118201000421E-05	0.0006077424	1.0091492738	1.5815057202	999.9999761513	999.9999877297	999.9126664153	55.2659337319	3.4589516486	0.7083395147	0.6035112151	0.3995136158	0.5483059003	1.4948574103	0.7978838767	0.3985679234	999.9999337515	45.2911894568	999.999994411	0.5988785421	1.9958039903	0.2293991173	0.8817556567	8.61534220139224E-07	0.4624705227	0.399452471	1.11463304927307E-05	1.3563385289	1.05247805580095E-05
